gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.047748,0.078550,-0.037047
0.018223,0.090850,0.060086
0.071567,0.041529,0.085587
0.048493,0.035806,0.062078
0.044452,0.111027,0.069822
0.059350,0.079278,-0.045493
0.082953,0.140688,0.073044
-0.003074,0.032926,0.024910
0.030312,0.056141,0.087310
-0.085157,0.085323,0.057932
0.032404,0.039628,-0.011688
0.003044,0.025670,0.064712
0.050844,-0.027358,0.057558
0.025914,0.042316,0.029851
0.013545,0.133756,-0.071503
0.029705,0.033335,0.047110
0.020577,0.024510,-0.001713
-0.015787,0.034501,-0.059775
0.042715,0.071604,0.074317
-0.044252,0.035477,0.065094
0.035077,0.100712,-0.022333
0.004857,0.119331,0.019957
0.009910,0.024743,0.050210
0.020167,0.117718,0.039406
0.003207,0.051776,0.028108
0.037371,0.003135,0.003878
-0.035723,0.019874,0.043230
-0.025749,0.073236,0.006814
0.019834,0.050704,0.011752
0.053339,0.006255,0.028587
0.056943,0.000795,-0.060995
-0.001650,0.001119,0.035854
0.096716,0.100296,0.020209
0.032968,0.041642,-0.000493
0.059605,0.019594,-0.038125
0.042498,0.048130,-0.073516
0.051235,0.107687,-0.045684
0.037867,-0.024258,0.051812
0.015977,0.050845,0.042454
-0.016369,0.032423,0.128391
0.018939,0.118506,0.051891
0.033407,0.033469,0.123821
0.104372,0.088149,-0.000554
0.039235,0.101942,0.005659
-0.000749,0.086549,0.026736
0.053067,0.028580,0.073223
0.036065,0.003372,0.048624
0.052841,0.111025,-0.001688
0.011629,0.077740,0.029007
0.037003,0.002868,0.023810
0.044671,0.063841,0.046315
0.030799,0.038698,0.000265
-0.020617,0.090271,0.077212
0.002906,0.057414,0.041546
0.043313,0.087466,-0.053685
0.129364,0.026888,-0.064959
-0.010648,0.031456,0.077303
0.054370,0.037938,0.024562
0.019907,0.005739,0.117582
-0.009390,0.036198,0.021105
-0.013202,0.065059,0.036714
0.063518,0.019448,0.047693
0.066485,0.000979,0.007260
0.014802,-0.009804,-0.016348
0.049510,0.047410,-0.019791
0.028464,0.055916,0.022129
0.031194,0.012067,-0.024766
0.063118,-0.045235,0.057833
0.029631,0.103980,-0.033522
0.009088,-0.006062,-0.006113
0.029166,-0.003639,0.017646
0.002034,0.055180,0.009510
0.015301,0.083716,0.075551
-0.018742,0.017035,0.073063
0.072196,-0.015840,0.069685
0.065983,0.005210,0.062489
0.046355,0.042726,0.028586
0.096212,0.035320,-0.029035
0.025587,0.016662,0.111926
-0.011476,0.004018,-0.019466
0.057709,-0.005880,-0.016522
0.038858,0.039178,0.057343
0.176932,0.013899,-0.041428
0.045234,-0.013111,-0.013487
-0.019337,0.054068,0.038850
0.046622,0.029516,0.006527
-0.002882,-0.026754,0.020852
0.029418,0.013274,-0.036410
-0.000584,0.026434,0.079335
0.007098,0.019821,-0.008221
0.089144,0.111147,-0.015841
-0.005106,0.005248,0.009106
0.067052,0.022015,0.046401
0.020712,0.030614,0.094080
-0.018638,-0.030402,0.006898
0.092364,0.034479,0.044170
0.045524,0.030873,0.052286
0.051009,0.018917,0.075948
-0.043025,0.031878,-0.052189
0.060255,0.015140,0.001938
0.021442,0.050080,0.063235
0.127855,0.037887,0.041263
0.020913,0.017222,-0.022698
0.021548,0.065642,0.008063
-0.059441,0.034435,0.007303
0.005547,0.004574,-0.038348
0.001968,-0.002457,-0.031389
0.105591,0.036624,0.047932
0.081583,0.068977,0.029085
0.098469,-0.040106,0.015811
-0.015250,0.080537,0.063969
0.051175,0.047273,0.026172
0.041400,0.086350,0.024935
-0.034871,0.093491,0.044646
0.041726,0.068048,-0.051485
0.045707,0.122381,0.018338
-0.047532,-0.040134,0.033883
