ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.011770,0.179087,0.068131
0.011706,0.178147,0.067773
0.011642,0.177212,0.067416
0.011579,0.176282,0.067061
0.011516,0.175357,0.066708
0.011454,0.174436,0.066357
0.011391,0.173521,0.066008
0.011330,0.172610,0.065661
0.011268,0.171704,0.065315
0.011207,0.170803,0.064972
0.011146,0.169907,0.064630
0.011086,0.169015,0.064290
0.011026,0.168128,0.063951
0.010966,0.167246,0.063615
0.010906,0.166368,0.063280
0.010847,0.165495,0.062947
0.010788,0.164627,0.062616
0.010730,0.163763,0.062286
0.010672,0.162903,0.061959
0.010614,0.162048,0.061633
0.010556,0.161198,0.061308
0.010499,0.160352,0.060986
0.010442,0.159510,0.060665
0.010386,0.158673,0.060346
0.010329,0.157840,0.060028
0.010274,0.157012,0.059712
0.010218,0.156188,0.059398
0.010163,0.155368,0.059086
0.010108,0.154553,0.058775
0.010053,0.153742,0.058466
0.009999,0.152935,0.058158
0.009944,0.152132,0.057852
0.009891,0.151334,0.057548
0.009837,0.150540,0.057245
0.009784,0.149750,0.056944
0.009731,0.148964,0.056644
0.009679,0.148182,0.056346
0.009626,0.147404,0.056050
0.009574,0.146631,0.055755
0.009523,0.145861,0.055462
0.009471,0.145096,0.055170
0.009420,0.144334,0.054880
0.009369,0.143577,0.054591
0.009318,0.142823,0.054304
0.009268,0.142074,0.054018
0.009218,0.141328,0.053734
0.009168,0.140586,0.053451
0.009119,0.139848,0.053170
0.009070,0.139114,0.052890
0.009021,0.138384,0.052612
0.008972,0.137658,0.052336
0.008924,0.136936,0.052060
0.008876,0.136217,0.051786
0.008828,0.135502,0.051514
0.008780,0.134791,0.051243
0.008733,0.134083,0.050974
0.008686,0.133380,0.050705
0.008639,0.132680,0.050439
0.008592,0.131983,0.050174
0.008546,0.131291,0.049910
0.008500,0.130602,0.049647
0.008454,0.129916,0.049386
0.008409,0.129234,0.049126
0.008363,0.128556,0.048868
0.008318,0.127881,0.048611
0.008274,0.127210,0.048355
0.008229,0.126543,0.048101
0.008185,0.125878,0.047848
0.008141,0.125218,0.047596
0.008097,0.124561,0.047346
0.008053,0.123907,0.047097
0.008010,0.123257,0.046849
0.007967,0.122610,0.046603
0.007924,0.121966,0.046358
0.007882,0.121326,0.046114
0.007839,0.120689,0.045872
0.007797,0.120056,0.045630
0.007755,0.119426,0.045391
0.007713,0.118799,0.045152
0.007672,0.118175,0.044914
0.007631,0.117555,0.044678
0.007590,0.116938,0.044443
0.007549,0.116324,0.044210
0.007508,0.115714,0.043977
0.007468,0.115107,0.043746
0.007428,0.114502,0.043516
0.007388,0.113902,0.043287
0.007348,0.113304,0.043059
0.007309,0.112709,0.042833
0.007270,0.112117,0.042608
0.007231,0.111529,0.042384
0.007192,0.110944,0.042161
0.007153,0.110361,0.041939
0.007115,0.109782,0.041719
0.007077,0.109206,0.041499
0.007039,0.108633,0.041281
0.007001,0.108063,0.041064
0.006964,0.107496,0.040848
0.006926,0.106931,0.040634
0.006889,0.106370,0.040420
0.006852,0.105812,0.040207
0.006815,0.105256,0.039996
0.006779,0.104704,0.039786
0.006743,0.104154,0.039577
0.006706,0.103608,0.039369
0.006670,0.103064,0.039162
0.006635,0.102523,0.038956
0.006599,0.101985,0.038751
0.006564,0.101450,0.038547
0.006529,0.100917,0.038344
0.006494,0.100388,0.038143
0.006459,0.099861,0.037942
0.006424,0.099337,0.037743
0.006390,0.098815,0.037545
0.006356,0.098297,0.037347
0.006322,0.097781,0.037151
0.006288,0.097267,0.036956
0.006254,0.096757,0.036761
0.006221,0.096249,0.036568
0.006187,0.095744,0.036376
0.006154,0.095241,0.036185
0.006121,0.094742,0.035994
0.006089,0.094244,0.035805
0.006056,0.093750,0.035617
0.006024,0.093258,0.035430
0.005992,0.092768,0.035243
0.005959,0.092281,0.035058
0.005928,0.091797,0.034874
0.005896,0.091315,0.034691
0.005864,0.090836,0.034508
0.005833,0.090359,0.034327
0.005802,0.089885,0.034146
0.005771,0.089413,0.033967
0.005740,0.088944,0.033788
0.005709,0.088477,0.033611
0.005679,0.088012,0.033434
0.005649,0.087550,0.033258
0.005618,0.087091,0.033084
0.005588,0.086634,0.032910
0.005558,0.086179,0.032737
0.005529,0.085727,0.032565
0.005499,0.085277,0.032394
0.005470,0.084829,0.032223
0.005441,0.084384,0.032054
0.005412,0.083941,0.031885
0.005383,0.083501,0.031718
0.005354,0.083062,0.031551
0.005325,0.082626,0.031385
0.005297,0.082193,0.031220
0.005269,0.081761,0.031056
0.005241,0.081332,0.030893
0.005213,0.080905,0.030731
0.005185,0.080481,0.030569
0.005157,0.080058,0.030409
0.005130,0.079638,0.030249
0.005102,0.079220,0.030090
0.005075,0.078804,0.029932
0.005048,0.078391,0.029774
0.005021,0.077979,0.029618
0.004994,0.077570,0.029462
0.004968,0.077163,0.029307
0.004941,0.076758,0.029153
0.004915,0.076355,0.029000
0.004889,0.075954,0.028848
0.004863,0.075555,0.028696
0.004837,0.075159,0.028545
0.004811,0.074764,0.028395
0.004785,0.074372,0.028246
0.004760,0.073982,0.028098
0.004735,0.073593,0.027950
0.004709,0.073207,0.027803
0.004684,0.072823,0.027657
0.004659,0.072440,0.027512
0.004634,0.072060,0.027367
0.004610,0.071682,0.027223
0.004585,0.071306,0.027080
0.004561,0.070931,0.026938
0.004537,0.070559,0.026796
0.004512,0.070189,0.026656
0.004488,0.069820,0.026516
0.004464,0.069454,0.026376
0.004441,0.069089,0.026238
0.004417,0.068727,0.026100
0.004394,0.068366,0.025963
0.004370,0.068007,0.025826
0.004347,0.067650,0.025691
0.004324,0.067295,0.025556
0.004301,0.066942,0.025421
0.004278,0.066591,0.025288
0.004255,0.066241,0.025155
0.004232,0.065893,0.025023
