ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
2.346752,4.724827,1.385658
2.346985,4.725297,1.385796
2.347217,4.725764,1.385933
2.347448,4.726229,1.386070
2.347678,4.726691,1.386205
2.347906,4.727151,1.386340
2.348133,4.727609,1.386474
2.348359,4.728064,1.386608
2.348584,4.728516,1.386740
2.348808,4.728967,1.386872
2.349030,4.729415,1.387004
2.349252,4.729860,1.387135
2.349472,4.730303,1.387265
2.349691,4.730744,1.387394
2.349909,4.731183,1.387522
2.350125,4.731619,1.387650
2.350341,4.732053,1.387778
2.350555,4.732485,1.387904
2.350769,4.732915,1.388030
2.350981,4.733342,1.388156
2.351192,4.733767,1.388280
2.351402,4.734190,1.388404
2.351611,4.734610,1.388528
2.351819,4.735028,1.388650
2.352025,4.735445,1.388772
2.352231,4.735858,1.388894
2.352435,4.736270,1.389014
2.352639,4.736680,1.389135
2.352841,4.737087,1.389254
2.353043,4.737493,1.389373
2.353243,4.737896,1.389491
2.353442,4.738297,1.389609
2.353640,4.738696,1.389726
2.353837,4.739093,1.389842
2.354033,4.739488,1.389958
2.354228,4.739880,1.390073
2.354422,4.740271,1.390188
2.354615,4.740660,1.390302
2.354807,4.741046,1.390415
2.354998,4.741431,1.390528
2.355188,4.741813,1.390640
2.355377,4.742194,1.390752
2.355565,4.742572,1.390863
2.355752,4.742949,1.390973
2.355939,4.743323,1.391083
2.356124,4.743696,1.391192
2.356308,4.744066,1.391301
2.356491,4.744435,1.391409
2.356673,4.744802,1.391516
2.356854,4.745167,1.391623
2.357034,4.745530,1.391730
2.357214,4.745891,1.391836
2.357392,4.746250,1.391941
2.357569,4.746607,1.392046
2.357746,4.746962,1.392150
2.357922,4.747316,1.392254
2.358096,4.747667,1.392357
2.358270,4.748017,1.392459
2.358443,4.748365,1.392561
2.358615,4.748711,1.392663
2.358786,4.749056,1.392764
2.358956,4.749398,1.392864
2.359125,4.749739,1.392964
2.359293,4.750078,1.393064
2.359461,4.750415,1.393163
2.359627,4.750750,1.393261
2.359793,4.751084,1.393359
2.359958,4.751416,1.393456
2.360122,4.751746,1.393553
2.360285,4.752074,1.393649
2.360447,4.752401,1.393745
2.360609,4.752726,1.393840
2.360769,4.753049,1.393935
2.360929,4.753370,1.394029
2.361088,4.753690,1.394123
2.361246,4.754008,1.394217
2.361403,4.754325,1.394309
2.361559,4.754640,1.394402
2.361715,4.754953,1.394493
2.361870,4.755264,1.394585
2.362023,4.755574,1.394676
2.362177,4.755883,1.394766
2.362329,4.756189,1.394856
2.362480,4.756494,1.394946
2.362631,4.756798,1.395035
2.362781,4.757100,1.395123
2.362930,4.757400,1.395211
2.363079,4.757699,1.395299
2.363226,4.757996,1.395386
2.363373,4.758291,1.395473
2.363519,4.758585,1.395559
2.363664,4.758878,1.395645
2.363809,4.759169,1.395730
2.363952,4.759458,1.395815
2.364095,4.759746,1.395899
2.364238,4.760032,1.395983
2.364379,4.760317,1.396067
2.364520,4.760601,1.396150
2.364660,4.760883,1.396232
2.364799,4.761163,1.396315
2.364938,4.761442,1.396397
2.365076,4.761719,1.396478
2.365213,4.761995,1.396559
2.365349,4.762270,1.396639
2.365485,4.762543,1.396719
2.365620,4.762815,1.396799
2.365754,4.763085,1.396878
2.365887,4.763354,1.396957
2.366020,4.763621,1.397036
2.366152,4.763887,1.397114
2.366284,4.764152,1.397191
2.366415,4.764415,1.397269
2.366545,4.764677,1.397345
2.366674,4.764938,1.397422
2.366803,4.765197,1.397498
2.366931,4.765455,1.397573
2.367058,4.765711,1.397649
2.367185,4.765966,1.397723
2.367311,4.766220,1.397798
2.367436,4.766472,1.397872
2.367561,4.766723,1.397945
2.367685,4.766973,1.398019
2.367808,4.767221,1.398091
2.367931,4.767469,1.398164
2.368053,4.767714,1.398236
2.368175,4.767959,1.398308
2.368295,4.768202,1.398379
2.368416,4.768444,1.398450
2.368535,4.768685,1.398521
2.368654,4.768924,1.398591
2.368772,4.769163,1.398661
2.368890,4.769399,1.398730
2.369007,4.769635,1.398799
2.369124,4.769870,1.398868
2.369240,4.770103,1.398937
2.369355,4.770335,1.399005
2.369469,4.770566,1.399072
2.369583,4.770795,1.399140
2.369697,4.771024,1.399207
2.369810,4.771251,1.399273
2.369922,4.771477,1.399339
2.370034,4.771702,1.399405
2.370145,4.771925,1.399471
2.370255,4.772148,1.399536
2.370365,4.772369,1.399601
2.370474,4.772589,1.399666
2.370583,4.772808,1.399730
2.370691,4.773026,1.399794
2.370799,4.773243,1.399857
2.370906,4.773458,1.399921
2.371012,4.773672,1.399983
2.371118,4.773886,1.400046
2.371224,4.774098,1.400108
2.371329,4.774309,1.400170
2.371433,4.774519,1.400232
