ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.669447,1.438758,-9.110857
6378137.670574,1.441567,-9.129104
6378137.671701,1.444377,-9.147351
6378137.672827,1.447187,-9.165597
6378137.673954,1.449997,-9.183844
6378137.675081,1.452808,-9.202091
6378137.676208,1.455618,-9.220338
6378137.677334,1.458429,-9.238584
6378137.678461,1.461241,-9.256831
6378137.679588,1.464052,-9.275078
6378137.680714,1.466864,-9.293324
6378137.681841,1.469676,-9.311571
6378137.682968,1.472488,-9.329817
6378137.684094,1.475301,-9.348063
6378137.685221,1.478114,-9.366310
6378137.686347,1.480927,-9.384556
6378137.687474,1.483740,-9.402803
6378137.688600,1.486553,-9.421049
6378137.689727,1.489367,-9.439295
6378137.690853,1.492181,-9.457541
6378137.691979,1.494996,-9.475787
6378137.693106,1.497810,-9.494034
6378137.694232,1.500625,-9.512280
6378137.695358,1.503440,-9.530526
6378137.696485,1.506255,-9.548772
6378137.697611,1.509071,-9.567018
6378137.698737,1.511887,-9.585264
6378137.699863,1.514703,-9.603510
6378137.700989,1.517519,-9.621755
6378137.702116,1.520335,-9.640001
6378137.703242,1.523152,-9.658247
6378137.704368,1.525969,-9.676493
6378137.705494,1.528786,-9.694739
6378137.706620,1.531603,-9.712984
6378137.707746,1.534421,-9.731230
6378137.708872,1.537239,-9.749476
6378137.709998,1.540057,-9.767721
6378137.711124,1.542875,-9.785967
6378137.712250,1.545694,-9.804212
6378137.713376,1.548513,-9.822458
6378137.714502,1.551332,-9.840703
6378137.715628,1.554151,-9.858949
6378137.716754,1.556970,-9.877194
6378137.717879,1.559790,-9.895440
6378137.719005,1.562610,-9.913685
6378137.720131,1.565430,-9.931930
6378137.721257,1.568250,-9.950176
6378137.722383,1.571070,-9.968421
6378137.723508,1.573891,-9.986666
6378137.724634,1.576712,-10.004911
6378137.725760,1.579533,-10.023156
6378137.726885,1.582354,-10.041402
6378137.728011,1.585176,-10.059647
6378137.729137,1.587998,-10.077892
6378137.730262,1.590820,-10.096137
6378137.731388,1.593642,-10.114382
6378137.732513,1.596464,-10.132627
6378137.733639,1.599287,-10.150872
6378137.734764,1.602110,-10.169117
6378137.735890,1.604932,-10.187362
6378137.737015,1.607756,-10.205606
6378137.738141,1.610579,-10.223851
6378137.739266,1.613403,-10.242096
6378137.740392,1.616226,-10.260341
6378137.741517,1.619050,-10.278585
6378137.742643,1.621874,-10.296830
6378137.743768,1.624699,-10.315075
6378137.744893,1.627523,-10.333320
6378137.746019,1.630348,-10.351564
6378137.747144,1.633173,-10.369809
6378137.748269,1.635998,-10.388053
6378137.749394,1.638823,-10.406298
6378137.750520,1.641649,-10.424542
6378137.751645,1.644474,-10.442787
6378137.752770,1.647300,-10.461031
6378137.753895,1.650126,-10.479276
6378137.755021,1.652953,-10.497520
6378137.756146,1.655779,-10.515765
6378137.757271,1.658606,-10.534009
6378137.758396,1.661432,-10.552253
6378137.759521,1.664259,-10.570497
6378137.760646,1.667086,-10.588742
6378137.761771,1.669914,-10.606986
6378137.762896,1.672741,-10.625230
6378137.764021,1.675569,-10.643474
6378137.765146,1.678397,-10.661719
6378137.766271,1.681225,-10.679963
6378137.767396,1.684053,-10.698207
6378137.768521,1.686881,-10.716451
6378137.769646,1.689710,-10.734695
6378137.770771,1.692538,-10.752939
6378137.771896,1.695367,-10.771183
6378137.773021,1.698196,-10.789427
