ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.575849,0.007488,3.272329
1.576050,0.007489,3.272748
1.576251,0.007490,3.273164
1.576451,0.007491,3.273579
1.576649,0.007492,3.273991
1.576847,0.007493,3.274401
1.577043,0.007494,3.274809
1.577238,0.007495,3.275215
1.577433,0.007496,3.275619
1.577626,0.007497,3.276020
1.577819,0.007498,3.276420
1.578010,0.007498,3.276817
1.578200,0.007499,3.277212
1.578390,0.007500,3.277605
1.578578,0.007501,3.277996
1.578765,0.007502,3.278386
1.578952,0.007503,3.278773
1.579137,0.007504,3.279158
1.579322,0.007505,3.279540
1.579505,0.007506,3.279921
1.579687,0.007506,3.280300
1.579869,0.007507,3.280677
1.580050,0.007508,3.281052
1.580229,0.007509,3.281425
1.580408,0.007510,3.281796
1.580586,0.007511,3.282166
1.580762,0.007512,3.282533
1.580938,0.007512,3.282898
1.581113,0.007513,3.283261
1.581287,0.007514,3.283623
1.581461,0.007515,3.283982
1.581633,0.007516,3.284340
1.581804,0.007516,3.284696
1.581974,0.007517,3.285049
1.582144,0.007518,3.285402
1.582313,0.007519,3.285752
1.582480,0.007520,3.286100
1.582647,0.007520,3.286447
1.582813,0.007521,3.286791
1.582978,0.007522,3.287134
1.583143,0.007523,3.287475
1.583306,0.007524,3.287815
1.583469,0.007524,3.288152
1.583630,0.007525,3.288488
1.583791,0.007526,3.288822
1.583951,0.007527,3.289154
1.584110,0.007527,3.289485
1.584269,0.007528,3.289813
1.584426,0.007529,3.290140
1.584583,0.007530,3.290466
1.584739,0.007530,3.290789
1.584894,0.007531,3.291111
1.585048,0.007532,3.291431
1.585201,0.007533,3.291750
1.585354,0.007533,3.292067
1.585506,0.007534,3.292382
1.585657,0.007535,3.292695
1.585807,0.007536,3.293007
1.585956,0.007536,3.293318
1.586105,0.007537,3.293626
1.586253,0.007538,3.293933
1.586400,0.007538,3.294239
1.586546,0.007539,3.294542
1.586692,0.007540,3.294845
1.586836,0.007540,3.295145
1.586980,0.007541,3.295444
1.587124,0.007542,3.295742
1.587266,0.007542,3.296038
1.587408,0.007543,3.296332
1.587549,0.007544,3.296625
1.587689,0.007544,3.296916
1.587829,0.007545,3.297206
1.587967,0.007546,3.297494
1.588105,0.007546,3.297781
1.588243,0.007547,3.298066
1.588379,0.007548,3.298350
1.588515,0.007548,3.298632
1.588651,0.007549,3.298913
1.588785,0.007550,3.299192
1.588919,0.007550,3.299470
