ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-0.037049,0.295847,0.199855
-0.036865,0.294294,0.198804
-0.036682,0.292749,0.197758
-0.036499,0.291213,0.196718
-0.036318,0.289684,0.195684
-0.036137,0.288163,0.194655
-0.035957,0.286651,0.193631
-0.035778,0.285146,0.192613
-0.035599,0.283649,0.191600
-0.035422,0.282160,0.190592
-0.035245,0.280679,0.189590
-0.035070,0.279206,0.188593
-0.034895,0.277740,0.187602
-0.034721,0.276282,0.186615
-0.034547,0.274832,0.185634
-0.034375,0.273389,0.184658
-0.034203,0.271954,0.183687
-0.034032,0.270526,0.182721
-0.033862,0.269106,0.181760
-0.033693,0.267694,0.180804
-0.033524,0.266289,0.179854
-0.033357,0.264891,0.178908
-0.033190,0.263500,0.177967
-0.033024,0.262117,0.177032
-0.032859,0.260741,0.176101
-0.032694,0.259372,0.175175
-0.032530,0.258011,0.174254
-0.032367,0.256656,0.173338
-0.032205,0.255309,0.172426
-0.032044,0.253969,0.171520
-0.031883,0.252636,0.170618
-0.031723,0.251310,0.169721
-0.031564,0.249990,0.168829
-0.031406,0.248678,0.167941
-0.031248,0.247373,0.167058
-0.031091,0.246074,0.166180
-0.030935,0.244783,0.165306
-0.030780,0.243498,0.164437
-0.030625,0.242219,0.163573
-0.030471,0.240948,0.162713
-0.030318,0.239683,0.161857
-0.030166,0.238425,0.161007
-0.030014,0.237173,0.160160
-0.029863,0.235928,0.159318
-0.029713,0.234690,0.158481
-0.029563,0.233458,0.157648
-0.029415,0.232232,0.156819
-0.029266,0.231013,0.155994
-0.029119,0.229801,0.155174
-0.028972,0.228594,0.154359
-0.028826,0.227395,0.153547
-0.028681,0.226201,0.152740
-0.028537,0.225013,0.151937
-0.028393,0.223832,0.151138
-0.028250,0.222657,0.150344
-0.028107,0.221489,0.149554
-0.027965,0.220326,0.148768
-0.027824,0.219169,0.147986
-0.027684,0.218019,0.147208
-0.027544,0.216874,0.146434
-0.027405,0.215736,0.145664
-0.027267,0.214603,0.144899
-0.027129,0.213477,0.144137
-0.026992,0.212356,0.143379
-0.026855,0.211242,0.142626
-0.026720,0.210133,0.141876
-0.026585,0.209030,0.141130
-0.026450,0.207932,0.140388
-0.026316,0.206841,0.139651
-0.026183,0.205755,0.138917
-0.026051,0.204675,0.138186
-0.025919,0.203601,0.137460
-0.025788,0.202532,0.136738
-0.025657,0.201469,0.136019
-0.025527,0.200411,0.135304
-0.025398,0.199359,0.134593
-0.025269,0.198313,0.133885
-0.025141,0.197272,0.133182
-0.025014,0.196236,0.132482
-0.024887,0.195206,0.131786
-0.024761,0.194181,0.131093
-0.024635,0.193162,0.130404
-0.024510,0.192148,0.129719
-0.024386,0.191139,0.129037
-0.024262,0.190136,0.128359
-0.024139,0.189138,0.127684
-0.024017,0.188145,0.127013
-0.023895,0.187158,0.126345
-0.023773,0.186175,0.125681
-0.023653,0.185198,0.125021
-0.023533,0.184226,0.124364
-0.023413,0.183259,0.123710
-0.023294,0.182297,0.123060
-0.023176,0.181340,0.122413
-0.023058,0.180388,0.121770
-0.022941,0.179441,0.121130
-0.022824,0.178499,0.120494
-0.022708,0.177562,0.119860
-0.022592,0.176630,0.119231
-0.022477,0.175703,0.118604
-0.022363,0.174780,0.117981
-0.022249,0.173863,0.117361
-0.022136,0.172950,0.116744
-0.022023,0.172042,0.116131
-0.021911,0.171139,0.115520
-0.021800,0.170241,0.114913
-0.021689,0.169347,0.114309
-0.021578,0.168458,0.113709
-0.021468,0.167574,0.113111
-0.021359,0.166694,0.112517
-0.021250,0.165819,0.111925
-0.021142,0.164949,0.111337
-0.021034,0.164083,0.110752
-0.020926,0.163222,0.110170
-0.020820,0.162365,0.109591
-0.020714,0.161513,0.109016
-0.020608,0.160665,0.108443
-0.020503,0.159821,0.107873
-0.020398,0.158982,0.107306
-0.020294,0.158148,0.106742
-0.020190,0.157318,0.106181
-0.020087,0.156492,0.105623
-0.019985,0.155670,0.105068
-0.019883,0.154853,0.104516
-0.019781,0.154040,0.103967
-0.019680,0.153232,0.103421
-0.019579,0.152427,0.102877
-0.019479,0.151627,0.102337
-0.019380,0.150831,0.101799
-0.019281,0.150040,0.101264
-0.019182,0.149252,0.100732
-0.019084,0.148469,0.100203
-0.018987,0.147689,0.099676
-0.018889,0.146914,0.099153
-0.018793,0.146143,0.098632
-0.018697,0.145376,0.098114
-0.018601,0.144612,0.097598
-0.018506,0.143853,0.097085
-0.018411,0.143098,0.096575
-0.018317,0.142347,0.096068
-0.018223,0.141600,0.095563
-0.018130,0.140856,0.095061
