ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378136.887807,1.080029,-11.870117
6378136.887309,1.081756,-11.889191
6378136.886811,1.083483,-11.908265
6378136.886312,1.085210,-11.927339
6378136.885813,1.086937,-11.946413
6378136.885314,1.088665,-11.965486
6378136.884815,1.090392,-11.984560
6378136.884316,1.092120,-12.003634
6378136.883817,1.093847,-12.022708
6378136.883317,1.095575,-12.041781
6378136.882817,1.097303,-12.060855
6378136.882317,1.099030,-12.079929
6378136.881817,1.100758,-12.099002
6378136.881317,1.102486,-12.118076
6378136.880817,1.104215,-12.137150
6378136.880316,1.105943,-12.156223
6378136.879816,1.107671,-12.175297
6378136.879315,1.109399,-12.194371
6378136.878814,1.111128,-12.213444
6378136.878313,1.112856,-12.232518
6378136.877811,1.114585,-12.251592
6378136.877310,1.116313,-12.270665
6378136.876808,1.118042,-12.289739
6378136.876307,1.119771,-12.308812
6378136.875805,1.121500,-12.327886
6378136.875303,1.123229,-12.346959
6378136.874800,1.124958,-12.366033
6378136.874298,1.126687,-12.385106
6378136.873796,1.128416,-12.404180
6378136.873293,1.130145,-12.423254
6378136.872790,1.131875,-12.442327
6378136.872287,1.133604,-12.461400
6378136.871784,1.135333,-12.480474
6378136.871281,1.137063,-12.499547
6378136.870778,1.138793,-12.518621
6378136.870274,1.140522,-12.537694
6378136.869771,1.142252,-12.556768
6378136.869267,1.143982,-12.575841
6378136.868763,1.145712,-12.594915
6378136.868259,1.147442,-12.613988
6378136.867755,1.149172,-12.633061
6378136.867250,1.150902,-12.652135
6378136.866746,1.152632,-12.671208
6378136.866241,1.154362,-12.690281
6378136.865737,1.156092,-12.709355
6378136.865232,1.157823,-12.728428
6378136.864727,1.159553,-12.747502
6378136.864222,1.161284,-12.766575
6378136.863717,1.163014,-12.785648
6378136.863211,1.164745,-12.804721
6378136.862706,1.166476,-12.823795
