ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.546472,-4.976168,-16.038894
27.546379,-4.977137,-16.038755
27.546286,-4.978100,-16.038615
27.546193,-4.979059,-16.038477
27.546101,-4.980012,-16.038339
27.546009,-4.980960,-16.038202
27.545918,-4.981904,-16.038066
27.545827,-4.982842,-16.037930
27.545737,-4.983776,-16.037795
27.545647,-4.984705,-16.037661
27.545558,-4.985628,-16.037527
27.545469,-4.986547,-16.037394
27.545380,-4.987461,-16.037262
27.545292,-4.988371,-16.037131
27.545204,-4.989275,-16.037000
27.545117,-4.990175,-16.036870
27.545030,-4.991070,-16.036740
27.544944,-4.991960,-16.036611
27.544858,-4.992846,-16.036483
27.544773,-4.993727,-16.036356
27.544687,-4.994603,-16.036229
27.544603,-4.995475,-16.036103
27.544519,-4.996342,-16.035978
27.544435,-4.997205,-16.035853
27.544351,-4.998063,-16.035729
27.544268,-4.998916,-16.035605
27.544186,-4.999765,-16.035482
27.544104,-5.000610,-16.035360
27.544022,-5.001450,-16.035238
27.543941,-5.002286,-16.035117
27.543860,-5.003117,-16.034997
27.543779,-5.003944,-16.034877
27.543699,-5.004767,-16.034758
27.543619,-5.005585,-16.034640
27.543540,-5.006399,-16.034522
27.543461,-5.007209,-16.034404
27.543383,-5.008014,-16.034288
27.543304,-5.008816,-16.034172
27.543227,-5.009613,-16.034056
27.543149,-5.010406,-16.033941
27.543072,-5.011194,-16.033827
27.542996,-5.011979,-16.033713
27.542920,-5.012759,-16.033600
27.542844,-5.013536,-16.033488
27.542768,-5.014308,-16.033376
27.542693,-5.015076,-16.033265
27.542619,-5.015840,-16.033154
27.542544,-5.016600,-16.033044
27.542470,-5.017357,-16.032934
27.542397,-5.018109,-16.032825
27.542324,-5.018857,-16.032717
27.542251,-5.019601,-16.032609
27.542178,-5.020342,-16.032501
27.542106,-5.021078,-16.032395
27.542034,-5.021811,-16.032288
27.541963,-5.022540,-16.032183
27.541892,-5.023265,-16.032078
27.541821,-5.023986,-16.031973
27.541751,-5.024703,-16.031869
27.541681,-5.025417,-16.031765
27.541611,-5.026126,-16.031662
27.541542,-5.026833,-16.031560
27.541473,-5.027535,-16.031458
27.541405,-5.028234,-16.031357
27.541337,-5.028929,-16.031256
27.541269,-5.029620,-16.031156
27.541201,-5.030308,-16.031056
27.541134,-5.030992,-16.030957
27.541067,-5.031672,-16.030858
27.541001,-5.032349,-16.030760
27.540934,-5.033023,-16.030662
27.540869,-5.033693,-16.030565
27.540803,-5.034359,-16.030468
27.540738,-5.035022,-16.030372
27.540673,-5.035681,-16.030276
27.540609,-5.036337,-16.030181
27.540544,-5.036990,-16.030086
27.540481,-5.037639,-16.029992
27.540417,-5.038284,-16.029898
27.540354,-5.038927,-16.029805
27.540291,-5.039565,-16.029712
27.540228,-5.040201,-16.029620
27.540166,-5.040833,-16.029528
27.540104,-5.041462,-16.029437
27.540042,-5.042087,-16.029346
27.539981,-5.042710,-16.029256
27.539920,-5.043329,-16.029166
27.539859,-5.043944,-16.029076
27.539799,-5.044557,-16.028987
27.539739,-5.045166,-16.028899
27.539679,-5.045772,-16.028811
27.539620,-5.046375,-16.028723
27.539560,-5.046975,-16.028636
27.539501,-5.047571,-16.028549
27.539443,-5.048165,-16.028463
27.539385,-5.048755,-16.028377
27.539327,-5.049342,-16.028292
27.539269,-5.049927,-16.028207
27.539211,-5.050508,-16.028123
27.539154,-5.051086,-16.028039
27.539098,-5.051661,-16.027955
27.539041,-5.052233,-16.027872
27.538985,-5.052802,-16.027789
27.538929,-5.053368,-16.027707
27.538873,-5.053931,-16.027625
27.538818,-5.054491,-16.027544
27.538763,-5.055048,-16.027463
27.538708,-5.055602,-16.027382
27.538653,-5.056153,-16.027302
27.538599,-5.056701,-16.027222
27.538545,-5.057247,-16.027143
27.538491,-5.057790,-16.027064
27.538438,-5.058329,-16.026986
27.538384,-5.058866,-16.026908
27.538332,-5.059400,-16.026830
27.538279,-5.059932,-16.026753
27.538227,-5.060460,-16.026676
27.538174,-5.060986,-16.026599
27.538123,-5.061509,-16.026523
27.538071,-5.062029,-16.026447
27.538020,-5.062547,-16.026372
27.537969,-5.063061,-16.026297
27.537918,-5.063573,-16.026223
27.537867,-5.064083,-16.026149
27.537817,-5.064590,-16.026075
27.537767,-5.065094,-16.026002
27.537717,-5.065595,-16.025929
27.537668,-5.066094,-16.025856
27.537618,-5.066590,-16.025784
27.537569,-5.067083,-16.025712
27.537521,-5.067574,-16.025641
27.537472,-5.068063,-16.025570
27.537424,-5.068549,-16.025499
27.537376,-5.069032,-16.025429
27.537328,-5.069513,-16.025359
27.537280,-5.069991,-16.025289
27.537233,-5.070466,-16.025220
27.537186,-5.070940,-16.025151
27.537139,-5.071410,-16.025082
27.537093,-5.071879,-16.025014
27.537046,-5.072344,-16.024946
27.537000,-5.072808,-16.024879
27.536954,-5.073268,-16.024812
27.536909,-5.073727,-16.024745
27.536863,-5.074183,-16.024679
27.536818,-5.074637,-16.024613
27.536773,-5.075088,-16.024547
27.536729,-5.075537,-16.024482
27.536684,-5.075983,-16.024417
27.536640,-5.076428,-16.024352
27.536596,-5.076869,-16.024288
27.536552,-5.077309,-16.024224
27.536509,-5.077746,-16.024160
27.536465,-5.078181,-16.024097
27.536422,-5.078614,-16.024034
27.536379,-5.079044,-16.023971
27.536337,-5.079472,-16.023908
27.536294,-5.079898,-16.023846
27.536252,-5.080322,-16.023785
27.536210,-5.080743,-16.023723
27.536168,-5.081162,-16.023662
27.536126,-5.081579,-16.023602
27.536085,-5.081994,-16.023541
27.536044,-5.082407,-16.023481
27.536003,-5.082817,-16.023421
27.535962,-5.083226,-16.023362
27.535922,-5.083632,-16.023302
27.535881,-5.084036,-16.023244
27.535841,-5.084438,-16.023185
27.535801,-5.084838,-16.023127
27.535761,-5.085235,-16.023069
