q0 (),q1,q2,q3
0.996072,0.016162,0.046516,0.073595
0.996070,0.016165,0.046527,0.073611
0.996068,0.016168,0.046537,0.073627
0.996067,0.016170,0.046547,0.073642
0.996065,0.016173,0.046557,0.073658
0.996063,0.016176,0.046568,0.073674
0.996062,0.016178,0.046578,0.073689
0.996060,0.016181,0.046588,0.073705
0.996058,0.016184,0.046598,0.073720
0.996057,0.016186,0.046608,0.073735
0.996055,0.016189,0.046618,0.073750
0.996053,0.016192,0.046628,0.073765
0.996052,0.016194,0.046637,0.073780
0.996050,0.016197,0.046647,0.073795
0.996049,0.016199,0.046657,0.073810
0.996047,0.016202,0.046666,0.073825
0.996045,0.016204,0.046676,0.073839
0.996044,0.016207,0.046686,0.073854
0.996042,0.016210,0.046695,0.073869
0.996041,0.016212,0.046705,0.073883
0.996039,0.016214,0.046714,0.073897
0.996038,0.016217,0.046723,0.073912
0.996036,0.016219,0.046733,0.073926
0.996035,0.016222,0.046742,0.073940
0.996033,0.016224,0.046751,0.073954
0.996032,0.016227,0.046760,0.073968
0.996030,0.016229,0.046769,0.073982
0.996029,0.016232,0.046778,0.073996
0.996027,0.016234,0.046787,0.074010
0.996026,0.016236,0.046796,0.074023
0.996024,0.016239,0.046805,0.074037
0.996023,0.016241,0.046814,0.074051
0.996021,0.016243,0.046823,0.074064
0.996020,0.016246,0.046832,0.074077
0.996018,0.016248,0.046841,0.074091
0.996017,0.016250,0.046849,0.074104
0.996015,0.016252,0.046858,0.074117
0.996014,0.016255,0.046866,0.074130
0.996013,0.016257,0.046875,0.074143
0.996011,0.016259,0.046884,0.074156
0.996010,0.016261,0.046892,0.074169
0.996008,0.016264,0.046900,0.074182
0.996007,0.016266,0.046909,0.074195
0.996006,0.016268,0.046917,0.074208
0.996004,0.016270,0.046925,0.074220
0.996003,0.016272,0.046934,0.074233
0.996002,0.016275,0.046942,0.074246
0.996000,0.016277,0.046950,0.074258
0.995999,0.016279,0.046958,0.074270
0.995998,0.016281,0.046966,0.074283
0.995996,0.016283,0.046974,0.074295
0.995995,0.016285,0.046982,0.074307
0.995994,0.016287,0.046990,0.074319
0.995992,0.016289,0.046998,0.074332
0.995991,0.016292,0.047006,0.074344
0.995990,0.016294,0.047014,0.074355
0.995988,0.016296,0.047022,0.074367
0.995987,0.016298,0.047029,0.074379
0.995986,0.016300,0.047037,0.074391
0.995985,0.016302,0.047045,0.074403
0.995983,0.016304,0.047052,0.074414
0.995982,0.016306,0.047060,0.074426
0.995981,0.016308,0.047067,0.074437
0.995980,0.016310,0.047075,0.074449
0.995978,0.016312,0.047082,0.074460
0.995977,0.016314,0.047090,0.074472
0.995976,0.016316,0.047097,0.074483
0.995975,0.016317,0.047105,0.074494
0.995973,0.016319,0.047112,0.074505
0.995972,0.016321,0.047119,0.074516
0.995971,0.016323,0.047126,0.074527
0.995970,0.016325,0.047134,0.074538
0.995969,0.016327,0.047141,0.074549
0.995967,0.016329,0.047148,0.074560
