accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.310289,-1.066573,-9.628659
1.307588,-1.070344,-9.646041
1.302352,-1.064638,-9.636509
1.315700,-1.070850,-9.634051
1.302129,-1.073718,-9.634525
1.308912,-1.077939,-9.631370
1.307734,-1.076512,-9.632895
1.319344,-1.064338,-9.625616
1.298564,-1.075184,-9.631010
1.318477,-1.079122,-9.632368
1.317246,-1.076075,-9.631871
1.314101,-1.068698,-9.636025
1.317983,-1.067146,-9.626252
1.315680,-1.076160,-9.631420
1.311459,-1.072371,-9.629371
1.317531,-1.073235,-9.633077
1.327801,-1.077879,-9.618791
1.324854,-1.070056,-9.631368
1.320776,-1.080657,-9.625300
1.332666,-1.074385,-9.629904
1.316199,-1.077435,-9.630655
1.316722,-1.075262,-9.631322
1.315215,-1.079886,-9.622500
1.321741,-1.074964,-9.626259
1.319760,-1.081241,-9.639837
1.315462,-1.084888,-9.627505
1.317799,-1.086793,-9.626170
1.321012,-1.076295,-9.622980
1.327778,-1.084256,-9.632520
1.329490,-1.080194,-9.624506
1.324370,-1.089835,-9.625165
1.327822,-1.080179,-9.623929
1.325148,-1.083768,-9.630038
1.330887,-1.079326,-9.616352
1.341142,-1.083339,-9.631924
1.323142,-1.085297,-9.624197
1.321836,-1.082811,-9.617156
1.324531,-1.089702,-9.621788
1.330853,-1.095147,-9.622779
1.328005,-1.087616,-9.626627
1.332688,-1.080744,-9.628334
1.327358,-1.086410,-9.626767
1.332213,-1.089535,-9.635418
1.332119,-1.095595,-9.629792
1.338550,-1.086786,-9.621175
1.339866,-1.096125,-9.626545
1.350458,-1.099979,-9.624861
1.333731,-1.096781,-9.625799
1.333697,-1.090287,-9.626368
1.332449,-1.087460,-9.622616
1.336320,-1.092558,-9.628461
1.340127,-1.089376,-9.621870
1.339693,-1.084258,-9.623251
1.343491,-1.092049,-9.618496
1.341049,-1.095670,-9.623551
1.337696,-1.092600,-9.616856
1.346681,-1.098217,-9.623879
1.341984,-1.095782,-9.628105
1.340460,-1.090298,-9.618279
1.334646,-1.089252,-9.624984
1.339019,-1.093599,-9.618439
1.350724,-1.094543,-9.628234
1.339295,-1.098999,-9.633556
1.345643,-1.103462,-9.617659
1.345372,-1.090037,-9.617946
1.352785,-1.095755,-9.622427
1.337884,-1.110073,-9.627678
1.342231,-1.096776,-9.611666
