mag_x (uT),mag_y (uT),mag_z (uT)
28.040613,-1.882607,-15.855068
28.032641,-1.871955,-15.848445
28.042648,-1.881862,-15.842538
28.029802,-1.888825,-15.856192
28.039385,-1.885684,-15.852889
28.040193,-1.907881,-15.868880
28.021407,-1.905846,-15.873750
28.033675,-1.896149,-15.821091
28.039173,-1.913938,-15.832207
28.039978,-1.907971,-15.850280
28.039917,-1.898208,-15.855884
28.041550,-1.907217,-15.847763
28.039727,-1.907862,-15.841284
28.031801,-1.911116,-15.854143
28.034230,-1.896088,-15.853749
28.041115,-1.913411,-15.849492
28.038273,-1.910700,-15.857542
28.048017,-1.920424,-15.859506
28.031418,-1.903569,-15.845597
28.051912,-1.914030,-15.831984
28.048181,-1.924651,-15.858053
28.050482,-1.924498,-15.838231
28.014823,-1.925798,-15.837008
28.022055,-1.944131,-15.832260
28.044359,-1.912213,-15.825736
28.044680,-1.931335,-15.846667
28.035943,-1.931509,-15.852977
28.037847,-1.910945,-15.839804
28.028488,-1.924045,-15.847795
28.042337,-1.920247,-15.844973
28.040969,-1.929025,-15.819486
28.056352,-1.933044,-15.837479
28.054842,-1.925675,-15.845933
28.041988,-1.907473,-15.833651
28.054129,-1.931884,-15.836497
28.054040,-1.940878,-15.837529
28.036736,-1.943447,-15.840704
28.037836,-1.936837,-15.821745
28.042132,-1.940972,-15.848726
28.053934,-1.947815,-15.847298
28.032352,-1.943051,-15.849527
28.037592,-1.928083,-15.824165
28.043827,-1.939735,-15.850461
28.047595,-1.941800,-15.842257
28.040163,-1.941827,-15.834288
28.034046,-1.946389,-15.837925
28.041384,-1.953456,-15.814076
28.027663,-1.949097,-15.826732
28.033311,-1.945642,-15.814363
28.031498,-1.937057,-15.823478
28.059617,-1.941764,-15.833281
28.037839,-1.940649,-15.834250
28.027032,-1.952839,-15.822465
28.041564,-1.950141,-15.830384
28.055550,-1.939285,-15.826676
28.040905,-1.965765,-15.821215
28.041792,-1.947118,-15.819133
28.030957,-1.971489,-15.816630
28.048572,-1.955689,-15.814493
28.062968,-1.946486,-15.829528
28.050210,-1.966127,-15.811292
28.043849,-1.949012,-15.834900
28.053657,-1.940746,-15.822275
28.041942,-1.950447,-15.830871
28.046086,-1.947351,-15.815674
28.041334,-1.947964,-15.832378
28.056575,-1.961161,-15.825228
28.044912,-1.957755,-15.836108
28.047351,-1.958928,-15.831747
28.048500,-1.964073,-15.805399
28.038865,-1.977178,-15.804288
28.072757,-1.991113,-15.825890
28.038189,-1.967572,-15.811490
28.054688,-1.953675,-15.816717
28.028067,-1.968658,-15.790960
28.030800,-1.972070,-15.812876
28.059073,-1.981384,-15.808650
28.048173,-1.977401,-15.828535
28.054449,-1.984023,-15.828564
28.051150,-1.980466,-15.809987
28.051284,-1.953802,-15.817318
28.048420,-1.977801,-15.837130
28.068466,-1.985670,-15.805787
28.044823,-1.971345,-15.817309
28.031793,-1.999003,-15.811826
28.061262,-1.982411,-15.810757
28.032942,-1.959418,-15.830511
28.064565,-1.989596,-15.807704
28.061355,-1.981378,-15.817808
28.054543,-1.995593,-15.807656
28.070600,-1.978988,-15.824182
28.039633,-1.980392,-15.825706
28.051032,-1.977431,-15.822839
28.033627,-1.995757,-15.804063
28.036243,-1.985263,-15.818277
28.018106,-1.980124,-15.801125
28.044540,-1.997459,-15.811525
28.057106,-1.969211,-15.810309
28.050542,-1.997879,-15.804705
28.030364,-1.987360,-15.788998
28.057640,-1.974222,-15.803925
28.036929,-1.984529,-15.809038
28.056037,-1.981699,-15.827127
28.043758,-1.979509,-15.816760
28.051206,-2.009544,-15.826743
28.043036,-1.982943,-15.816170
28.039232,-1.983645,-15.801649
28.039612,-1.985639,-15.806370
28.041399,-1.995159,-15.806887
28.050838,-1.998161,-15.808190
28.046383,-2.002971,-15.818503
28.051356,-1.996526,-15.824607
28.044305,-2.025207,-15.810905
28.071783,-2.013868,-15.816194
28.061153,-2.004824,-15.815291
28.053284,-2.014580,-15.804549
28.054313,-1.984205,-15.803689
28.041748,-2.023811,-15.806937
28.066321,-2.011426,-15.812202
28.034557,-2.024107,-15.802190
28.039908,-1.997068,-15.790520
28.058684,-2.018787,-15.805319
28.050210,-1.999374,-15.798313
28.052786,-2.020324,-15.789330
28.039631,-2.003128,-15.804540
28.062436,-2.014866,-15.808721
28.063333,-2.013691,-15.791884
