mag_x (uT),mag_y (uT),mag_z (uT)
28.068094,-4.888692,-15.170660
28.080152,-4.864915,-15.171940
28.051470,-4.873084,-15.160963
28.073897,-4.895885,-15.162849
28.061104,-4.869757,-15.156470
28.033316,-4.877285,-15.165224
28.068556,-4.863968,-15.152480
28.057290,-4.864375,-15.147113
28.052995,-4.867949,-15.156049
28.050893,-4.891545,-15.141113
28.054983,-4.880005,-15.144921
28.063826,-4.891932,-15.146380
28.063720,-4.890503,-15.149125
28.077684,-4.877420,-15.142798
28.077949,-4.868246,-15.156652
28.067809,-4.890557,-15.155735
28.071766,-4.894765,-15.140018
28.062625,-4.881391,-15.161316
28.051025,-4.895969,-15.158506
28.054855,-4.881722,-15.148804
28.071484,-4.910234,-15.166825
28.065008,-4.902863,-15.149874
28.063455,-4.893034,-15.167052
28.039677,-4.914375,-15.132633
28.056815,-4.911572,-15.149087
28.068584,-4.897191,-15.140115
28.041295,-4.899566,-15.141340
28.074660,-4.902343,-15.150773
28.063478,-4.896714,-15.144547
28.074403,-4.911308,-15.157104
28.055949,-4.917662,-15.161789
28.052016,-4.903938,-15.136711
28.083659,-4.905875,-15.155201
28.069319,-4.925490,-15.120628
28.069479,-4.915972,-15.142255
28.087168,-4.919831,-15.143639
28.053600,-4.897808,-15.122773
28.055612,-4.904682,-15.142716
28.069653,-4.899704,-15.134562
28.057397,-4.926989,-15.144502
28.087849,-4.904724,-15.143600
28.066889,-4.916571,-15.160956
28.048440,-4.909100,-15.125032
28.045497,-4.923241,-15.144085
28.059702,-4.907542,-15.135819
28.042989,-4.924975,-15.119328
28.061887,-4.923699,-15.125565
28.066045,-4.945616,-15.123581
28.050051,-4.929598,-15.137347
28.070963,-4.920954,-15.170083
28.064837,-4.924572,-15.140982
28.077880,-4.916757,-15.147816
28.058137,-4.933309,-15.129489
28.055955,-4.927943,-15.130024
28.070588,-4.917607,-15.117360
28.071953,-4.937172,-15.149266
28.074636,-4.932065,-15.156272
28.055535,-4.951569,-15.133875
28.063384,-4.936970,-15.128206
28.051681,-4.924273,-15.124039
28.049904,-4.916798,-15.137660
28.070133,-4.953637,-15.130175
28.063320,-4.921235,-15.134327
28.064358,-4.925353,-15.123755
28.060836,-4.951632,-15.119765
28.046944,-4.949934,-15.124032
28.075913,-4.931532,-15.127114
28.061192,-4.941659,-15.147376
28.072698,-4.945375,-15.130942
28.088966,-4.929854,-15.130649
28.079070,-4.946507,-15.136718
28.061525,-4.956399,-15.131133
28.051958,-4.953724,-15.115873
28.061098,-4.951329,-15.144506
28.063432,-4.945442,-15.134679
28.051924,-4.957288,-15.117438
28.061670,-4.956927,-15.132196
28.076684,-4.946514,-15.133572
28.070219,-4.960727,-15.122028
28.063502,-4.949562,-15.114390
28.047850,-4.958785,-15.112184
28.071306,-4.957425,-15.139687
28.068797,-4.968709,-15.129801
28.061395,-4.951761,-15.120939
28.063991,-4.964291,-15.136252
28.053881,-4.941312,-15.145033
28.071733,-4.970004,-15.107770
28.064772,-4.976389,-15.122190
28.073855,-4.946912,-15.116209
28.066355,-4.942856,-15.125905
28.059264,-4.974113,-15.111439
28.058409,-4.952375,-15.119069
28.052231,-4.983343,-15.110200
28.063047,-4.951663,-15.106241
28.077794,-4.959841,-15.109671
28.075869,-4.961401,-15.111541
28.061159,-4.963077,-15.129015
28.058813,-4.953923,-15.126492
28.048950,-4.971338,-15.125304
28.053621,-4.975633,-15.099495
28.055665,-4.982391,-15.115101
28.071387,-4.967662,-15.099808
28.054098,-4.965397,-15.118309
28.064023,-4.976464,-15.135924
28.071069,-4.970857,-15.130040
28.073693,-4.984902,-15.115037
28.057720,-4.960756,-15.121106
28.084109,-4.982873,-15.119976
28.056459,-4.961671,-15.134656
28.050030,-4.972554,-15.126437
28.066539,-5.006058,-15.115398
28.067305,-4.982404,-15.093597
28.065204,-4.972359,-15.123279
28.053883,-4.985082,-15.101950
28.063383,-4.975489,-15.102557
28.072752,-4.979201,-15.101067
28.061952,-4.969846,-15.131727
28.076989,-4.977951,-15.114213
28.081790,-4.996974,-15.127313
28.066910,-4.959268,-15.109892
28.053178,-4.978614,-15.103193
28.061482,-4.987212,-15.117905
28.072463,-5.003559,-15.111053
28.070035,-5.004755,-15.097499
28.074905,-4.966874,-15.119304
